,Country,year,value
0,AGO,2010,8.68476
1,DZA,2008,11.42941
2,EGY,2008,10.44253
3,BGD,2013,13.82286
4,LIC,2013,16.72903
5,MIC,2010,16.06898
6,NAM,2010,26.19325
7,EUU,2012,10.70825
8,BGR,2012,10.69092
9,BOL,2014,16.85088
10,GHA,2013,21.70402
11,PAK,2014,11.30067
12,WLD,2011,13.49642
13,CPV,2013,14.97774
14,PRE,2013,16.19138
15,BHS,2000,19.49561
16,JOR,1999,14.18371
17,LBR,2012,8.10176
18,IDX,2013,16.83461
19,LBY,1999,8.13873
20,MYS,2013,21.47878
21,PRI,2013,21.58274
22,TZA,2014,17.25627
23,BWA,2009,20.4774
24,KHM,2010,13.08358
25,SAS,2014,18.39787
26,PRY,2012,19.60245
27,HKG,2014,17.6204
28,SAU,2008,19.25742
29,LBN,2013,8.57552
30,SVN,2012,12.63184
31,BFA,2013,16.16524
32,CHE,2012,16.09951
33,KEN,2010,20.55599
34,MRT,2013,11.40537
35,HRV,2011,8.57615
36,CHL,2013,19.07084
37,CHN,1999,12.63153
38,KNA,2007,12.75324
39,JAM,2014,21.79749
40,DJI,2010,12.3284
41,GIN,2013,14.13282
42,FIN,2012,12.81075
43,URY,2011,14.92589
44,THA,2012,21.39677
45,SYC,2011,10.38641
46,NPL,2014,22.09018
47,MAR,2009,17.29529
48,YEM,2008,12.48921
49,PHL,2013,20.3
50,ZAF,2014,19.10913
51,NIC,2010,22.75367
52,LAC,2011,15.87258
53,SYR,2009,19.18405
54,MAC,2013,14.25466
55,KIR,2001,11.51614
56,KAZ,2014,12.60609
57,DMA,1999,11.41962
58,BEN,2014,22.22764
59,UMC,2011,13.938665
60,BEL,2011,11.91676
61,DEU,2012,11.2171
62,LKA,2012,8.75172
63,EMU,2012,11.2171
64,GBR,2013,12.97461
65,GUY,2012,10.26061
66,CRI,2004,20.43089
67,CMR,2013,13.82494
68,LDC,2013,16.6103
69,CEB,2012,9.79439
70,IDB,2011,12.15085
71,HUN,2011,9.30398
72,TKM,2012,20.79551
73,TTO,2003,13.33585
74,NLD,2012,11.61935
75,COM,2012,18.49151
76,BMU,2014,7.79644
77,MNA,2008,14.979925
78,TCD,2013,12.46149
79,GEO,2012,6.70776
80,ROU,2012,8.43579
81,MNG,2011,12.15085
82,MHL,2003,22.50875
83,BLZ,2013,22.91612
84,SWE,2012,15.2498
85,AFG,2014,18.39787
86,BDI,2013,17.24324
87,BLR,2014,12.44628
88,GRD,2003,10.80899
89,GRC,2005,9.17249
90,CSS,2014,21.79749
91,MOZ,2013,19.03288
92,ARG,2013,15.09043
93,SST,2011,13.84617
94,TJK,2012,16.35024
95,BRB,2014,14.16823
96,LCA,2014,15.30152
97,IND,2012,14.06268
98,LVA,2012,8.73077
99,BTN,2014,17.82473
100,SSA,2013,16.59715
101,VNM,2012,21.43734
102,NOR,2012,17.45271
103,CZE,2012,9.74072
104,ATG,2009,6.91662
105,FJI,2013,14.03247
106,MDA,2014,18.83653
107,HND,2013,19.23051
108,MUS,2014,20.9054
109,DOM,2007,12.57788
110,LUX,2001,9.69806
111,ISR,2011,13.49082
112,ABW,2011,21.77598
113,SMR,2011,10.64036
114,PER,2014,16.2449
115,IDN,2013,17.59418
116,VUT,2014,21.82901
117,GNQ,1998,5.24814
118,COD,2013,16.83461
119,COG,2010,29.01843
120,ISL,2011,15.41527
121,GAB,2000,17.70649
122,ETH,2013,27.0211
123,NER,2014,21.66142
124,COL,2014,15.85781
125,TMN,2008,14.979925
126,IDA,2010,16.58808
127,ECA,2012,13.18072
128,PRT,2011,10.24668
129,TEA,2010,15.466875
130,TEC,2012,13.18072
131,STP,2014,12.30941
132,MDG,2013,13.98948
133,ECU,2012,10.34829
134,ECS,2012,11.83863
135,SEN,2010,20.72314
136,MDV,2012,15.29215
137,TLS,2014,7.74731
138,FRA,2012,9.73667
139,LTU,2011,12.33635
140,RWA,2013,16.59715
141,ZMB,2008,5.6518
142,GMB,2013,10.27583
143,IRL,2012,13.83413
144,GTM,2013,20.63795
145,DNK,2011,15.03621
146,ZWE,2010,8.72091
147,AUS,2012,13.18429
148,AUT,2012,10.70825
149,LTE,2012,13.70187
150,VEN,2009,20.66358
151,TSA,2014,18.39787
152,PLW,2002,15.34344
153,LMY,2010,16.19343
154,LAO,2014,15.35253
155,MEA,2008,13.63478
156,TUR,2006,8.54862
157,ALB,2013,12.12391
158,OMN,2009,10.94918
159,ITA,2011,8.43019
160,BRN,2014,9.98591
161,CAN,2011,12.18817
162,TUN,2012,21.61525
163,RUS,2012,11.14676
164,LMC,2010,16.4092
165,MEX,2011,19.00752
166,BRA,2012,15.56961
167,OED,2012,12.344875
168,SRB,2012,9.59923
169,MKD,2002,8.64088
170,USA,2011,13.05128
171,QAT,2014,11.13241
172,WSM,2008,16.06423
173,AZE,2013,6.47857
174,GNB,2013,16.19138
175,SWZ,2011,22.35631
176,TON,2004,18.10253
177,CIV,2014,20.67385
178,UKR,2013,13.86764
179,IBT,2011,14.89684
180,CAF,2011,7.82546
181,SVK,2012,9.79439
182,CYP,2011,15.53671
183,SGP,2013,19.92994
184,IRN,2014,19.67193
185,ERI,2006,5.16807
186,POL,2011,11.06334
187,HIC,2012,12.05791
188,KWT,2006,13.37001
189,EAP,2010,15.466875
190,EAS,2011,17.37055
191,EAR,2010,17.37576
192,TGO,2014,19.36476
193,ARE,1997,5.02373
194,EST,2012,12.05791
195,MWI,2014,16.33672
196,ESP,2012,9.22981
197,SLV,2011,15.87258
198,MLI,2014,18.22425
199,LCN,2011,15.801065
200,VCT,2010,15.48563
201,MLT,2012,15.25658
202,SSD,2011,3.93043
203,HPC,2013,16.62345
204,SLE,2014,15.09175
205,PAN,2011,13.01972
206,SDN,2009,10.7707
207,SLB,2010,17.47849
208,NZL,2012,19.35049
209,MCO,2014,5.00886
210,SSF,2013,16.59715
211,JPN,2013,9.57815
212,NAC,2011,12.619725
213,KGZ,2013,17.773
214,TLA,2011,15.801065
215,ARM,2014,9.36714
216,TSS,2013,16.59715
217,ARB,2008,13.18469
218,UGA,2013,11.76472
219,FSM,2000,9.96512
220,PST,2012,12.81075
221,LSO,2008,24.69755
222,IBD,2011,14.478525
223,BHR,2012,8.94804
224,OSS,2011,13.62941
