,Country,year,value
0,AGO,2012,13.8024645931
1,DZA,2011,14.6484221766
2,EGY,2012,5.74487525574
3,BGD,2011,0.0148186331681
4,QAT,2010,8.01133497063
5,MIC,2008,12.0580591285
6,NAM,2011,10.2085788344
7,EUU,2014,4.22049749182
8,BGR,2012,4.91190050266
9,BOL,2007,7.73267821084
10,GHA,2011,2.80148448106
11,PAK,2013,19.4703171632
12,WLD,2012,8.96714018477
13,CPV,2009,2.16101042141
14,PRE,2010,10.5211084425
15,JOR,2012,16.1239090881
16,IDX,2011,6.91598916712
17,MYS,2012,6.83231337753
18,TZA,2012,5.25395766914
19,BWA,2012,7.5856313422
20,KHM,2014,13.3822392535
21,SAS,2012,15.7409712419
22,PRY,2012,6.48776440795
23,LBN,2014,18.1907863983
24,SVN,2012,2.77909910284
25,BFA,2014,11.3853298573
26,CHE,2013,4.27895273299
27,KEN,2012,8.52064004705
28,HRV,2012,4.62158147465
29,CHL,2014,9.41448972748
30,CHN,2008,16.08314389
31,JAM,2014,2.99800443368
32,GIN,1999,11.847315021
33,FIN,2014,3.16761628993
34,URY,2012,5.77970732488
35,THA,2014,7.28485269995
36,SYC,2012,3.36998979764
37,NPL,2013,10.1328622502
38,MAR,2011,10.1536946231
39,PHL,2012,7.06455274896
40,ZAF,2014,3.28311774592
41,NIC,2012,4.37263547231
42,LAC,2000,7.18383251336
43,SYR,2009,22.9463114569
44,KAZ,2004,7.02336583532
45,BEN,2013,7.3574025974
46,NGA,2012,9.78000268061
47,BEL,2014,2.15909906033
48,DEU,2014,4.19335102435
49,LKA,2012,13.7684914901
50,EMU,2014,3.96956545384
51,GBR,2014,4.9640421412
52,CRI,2014,0.0
53,CMR,1999,12.0300432082
54,CEB,2014,6.52018180697
55,LSO,2008,3.28982248716
56,OSS,2010,7.48976529362
57,TTO,2010,2.10326061892
58,NLD,2014,2.80237633453
59,MNA,2009,13.0540010221
60,GEO,2012,12.2320420301
61,ROU,2014,4.23776897397
62,MNG,2012,3.60545291413
63,BLZ,2012,4.29915749183
64,SWE,2014,3.47322720695
65,AFG,2012,2.78978945218
66,BDI,1999,30.3097013378
67,BLR,2012,4.50325753895
68,GRC,2014,4.83149843551
69,MOZ,2012,3.74729016158
70,SST,2010,6.86095713133
71,TJK,2004,15.804756996
72,IND,2012,15.6949171942
73,PSS,1992,8.2348086618
74,SSF,2012,7.04010111551
75,SSA,2012,7.04614461404
76,NOR,2014,4.05904642171
77,CZE,2012,3.13368235577
78,FJI,2006,6.62477486037
79,MDA,2012,0.983972580826
80,HND,2014,6.67043976621
81,MUS,2014,1.14263400636
82,DOM,2013,3.95917531265
83,LUX,2014,1.07724422302
84,ISR,2014,15.7080360409
85,PER,2012,6.88732378424
86,IDN,2012,4.55727267212
87,GNQ,2009,52.1962557102
88,COD,2010,10.1763074099
89,COG,2010,13.5860868342
90,ISL,2012,0.357695864324
91,ETH,2011,10.3053148552
92,IDB,2012,12.682843047
93,COL,2014,9.6335651105
94,TMN,2009,13.0540010221
95,IDA,2011,10.1435321262
96,ECA,2014,12.7521505015
97,PRT,2014,3.72805737787
98,TEA,2008,15.1946022015
99,TEC,2014,12.1035252293
100,MDG,2011,7.50111908621
101,ECU,1994,5.95701125896
102,ECS,2014,5.27358473482
103,SEN,2012,8.23904480551
104,SRB,2012,5.34240818377
105,FRA,2014,4.57127529872
106,LTU,2014,9.23642760586
107,RWA,2013,8.41378766367
108,ZMB,2011,8.52342025993
109,GMB,1990,6.3679410324
110,IRL,2014,1.31955377656
111,GTM,2012,3.43477189065
112,DNK,2013,2.96637184991
113,ZWE,1997,10.9877920949
114,AUS,2014,6.81304991973
115,AUT,2014,1.58574721845
116,LTE,2008,11.8718988206
117,VEN,2005,5.63085172103
118,TSA,2012,15.7409712419
119,LMY,2008,12.0457682111
120,LAO,2012,1.8072998187
121,MEA,1997,18.5546402515
122,TUR,2014,6.36321744205
123,ALB,2004,6.16911786004
124,OMN,2012,44.2922118555
125,ITA,2014,3.43873721698
126,CAN,2014,5.98994194476
127,TUN,2012,4.26451196588
128,RUS,2014,15.5431687125
129,LMC,2012,10.7613079736
130,MEX,2000,3.70209351727
131,BRA,2012,5.66930632163
132,OED,2014,8.49191962709
133,UMC,2008,12.1092777714
134,MKD,2012,4.17163324409
135,USA,2014,15.3063931271
136,IRN,2009,15.3903613879
137,IBD,2008,11.7027738597
138,AZE,2012,20.9985920248
139,CIV,2014,11.5950493632
140,UKR,2012,5.73030837026
141,KOR,2011,13.6357866452
142,IBT,2008,11.6626965158
143,CAF,2010,14.7518493464
144,SVK,2014,4.34829372239
145,CYP,2014,3.21741308964
146,BIH,2014,2.56801651422
147,SGP,2012,25.0983174361
148,TSS,2012,7.04010111551
149,POL,2014,8.63107340225
150,HIC,2014,9.10317224403
151,KWT,2006,10.25238142
152,EAP,2008,15.1946022015
153,EAS,2008,10.0945130525
154,EAR,1998,12.7313597157
155,TGO,2013,7.79404108112
156,ARE,2014,144.906060377
157,ESP,2014,5.72030204703
158,SLV,2013,4.69646035199
159,MLI,2013,8.76723453737
160,LCN,2000,7.42373240837
161,LVA,2012,3.1257563015
162,MLT,2014,1.26843227405
163,PAN,2001,0.0
164,NZL,2014,3.49016831405
165,JPN,2013,5.17929613035
166,NAC,2014,14.1357576601
167,KGZ,2012,13.9947176757
168,TLA,2000,7.42373240837
169,ARM,2012,16.7672185536
170,UGA,2012,12.2782122831
171,PST,2014,8.50465898938
172,SDN,1999,52.9919706175
173,BHR,2013,17.7325192776
174,HUN,2014,1.91901958573
175,PNG,2002,2.57460130571
