,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
0,,BANK OF AMERICA TRUST CO.,COMMERCIAL BANK,STATE,PITTSBURGH,4/19/1934 ,FDIC,,PAYOUT,1064,1435.0,
1,,FON DU LAC STATE BANK,COMMERCIAL BANK,STATE,EAST PEORIA,5/28/1934 ,FDIC,,PAYOUT,238,374.0,
2,,FIRST NATIONAL BANK OF LIMA,COMMERCIAL BANK,FEDERAL,LIMA,7/18/1934 ,FDIC,,PAYOUT,42,91.0,
3,,FLORENCE DEPOSIT BANK,COMMERCIAL BANK,STATE,FLORENCE,7/18/1934 ,FDIC,,PAYOUT,69,105.0,
4,,BANK OF LEWISPORT,COMMERCIAL BANK,STATE,LEWISPORT,8/6/1934 ,FDIC,,PAYOUT,68,81.0,
5,,FARMERS STATE BANK OF BONGARDS,COMMERCIAL BANK,STATE,BONGARDS,9/13/1934 ,FDIC,,PAYOUT,73,91.0,
6,,FARMERS & TRADERS BANK,COMMERCIAL BANK,STATE,PORTERFIELD,10/11/1934 ,FDIC,,PAYOUT,32,46.0,
7,,PICKENS COUNTY BANK,COMMERCIAL BANK,STATE,JASPER,10/13/1934 ,FDIC,,PAYOUT,210,243.0,
8,,THE STATE BANK,COMMERCIAL BANK,STATE,SAUK CITY,11/16/1934 ,FDIC,,PAYOUT,170,195.0,
9,,CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,GRANTWOOD,1/3/1935 ,FDIC,,PAYOUT,590,2305.0,
10,,THE NATIONAL BANK OF HERNDON,COMMERCIAL BANK,FEDERAL,HERNDON,1/9/1935 ,FDIC,,PAYOUT,384,387.0,
11,,PALMETTO STATE BANK,COMMERCIAL BANK,STATE,LAKE CITY,3/9/1935 ,FDIC,,PAYOUT,136,149.0,
12,,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,CHEYENNE,3/25/1935 ,FDIC,,PAYOUT,303,427.0,
13,,GUARANTY STATE BANK,COMMERCIAL BANK,STATE,CLINTON,4/4/1935 ,FDIC,,PAYOUT,176,264.0,
14,,THE STATE BANK OF MILFORD,COMMERCIAL BANK,STATE,MILFORD,4/10/1935 ,FDIC,,PAYOUT,87,118.0,
15,,THE FARMERS BANK,COMMERCIAL BANK,STATE,ROYSTON,5/2/1935 ,FDIC,,PAYOUT,108,166.0,
16,,FIRST STATE BANK OF AGRA,COMMERCIAL BANK,STATE,AGRA,5/3/1935 ,FDIC,,PAYOUT,96,129.0,
17,,BLUE SPRINGS STATE BANK,COMMERCIAL BANK,STATE,BLUE SPRINGS,6/1/1935 ,FDIC,,PAYOUT,234,235.0,
18,,ANCHOR STATE BANK,COMMERCIAL BANK,STATE,WEST MILWAUKEE,6/4/1935 ,FDIC,,PAYOUT,718,891.0,
19,,STATE BANK OF SUAMICO,COMMERCIAL BANK,STATE,SUAMICO,6/24/1935 ,FDIC,,PAYOUT,128,161.0,
20,,THE FIRST NATIONAL BANK OF PENDER,COMMERCIAL BANK,FEDERAL,PENDER,6/29/1935 ,FDIC,,PAYOUT,195,301.0,
21,,BANK OF GRANTVILLE,COMMERCIAL BANK,STATE,GRANTVILLE,7/20/1935 ,FDIC,,PAYOUT,48,91.0,
22,,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,MARIETTA,7/22/1935 ,FDIC,,PAYOUT,132,227.0,
23,,THE FARMERS NATIONAL BANK OF SARDINIA,COMMERCIAL BANK,FEDERAL,SARDINIA,7/24/1935 ,FDIC,,PAYOUT,261,308.0,
24,,THE COMMERCIAL NATIONAL BANK OF BRADFORD,COMMERCIAL BANK,FEDERAL,BRADFORD,9/28/1935 ,FDIC,,PAYOUT,4621,5162.0,
25,,BUNA STATE BANK,COMMERCIAL BANK,STATE,BUNA,10/23/1935 ,FDIC,,PAYOUT,29,47.0,
26,,E. P. WILBUR TRUST COMPANY,COMMERCIAL BANK,STATE,BETHLEHEM,11/16/1935 ,FDIC,,ACQUISITION,4357,,
27,,PRESIDIO VALLEY BANK,COMMERCIAL BANK,STATE,PRESIDIO,11/18/1935 ,FDIC,,PAYOUT,49,73.0,
28,,LENNON STATE BANK,COMMERCIAL BANK,STATE,LENNON,11/26/1935 ,FDIC,,PAYOUT,74,79.0,
29,,BANK OF LINDEN,COMMERCIAL BANK,STATE,LINDEN,11/27/1935 ,FDIC,,PAYOUT,188,224.0,
30,,FARMERS BANK OF CHARLTON COUNTY,COMMERCIAL BANK,STATE,KEYTESVILLE,12/5/1935 ,FDIC,,PAYOUT,229,287.0,
31,,FRIENDSHIP STATE BANK,COMMERCIAL BANK,STATE,FRIENDSHIP,12/7/1935 ,FDIC,,PAYOUT,125,147.0,
32,,LIVINGSTON STATE BANK,COMMERCIAL BANK,STATE,LIVINGSTON,12/14/1935 ,FDIC,,PAYOUT,72,91.0,
33,,THE FARMERS BANK,COMMERCIAL BANK,STATE,WEST LOUISVILLE,12/16/1935 ,FDIC,,PAYOUT,37,55.0,
34,,CITIZENS BANK OF ERWIN,COMMERCIAL BANK,STATE,ERWIN,1/10/1936 ,FDIC,,PAYOUT,95,159.0,
35,,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,ADAMS,2/1/1936 ,FDIC,,PAYOUT,5,14.0,
36,,THE FIRST NATIONAL BANK OF CLINTON,COMMERCIAL BANK,FEDERAL,CLINTON,2/1/1936 ,FDIC,,ACQUISITION,437,,
37,,PEOPLES BANK,COMMERCIAL BANK,STATE,COLE CAMP,2/5/1936 ,FDIC,,PAYOUT,143,186.0,
38,,THE ANN ARBOR SAVINGS BANK,COMMERCIAL BANK,STATE,ANN ARBOR,2/15/1936 ,FDIC,,ACQUISITION,6758,,
39,,FARMERS & MECHANICS BANK,COMMERCIAL BANK,STATE,ANN ARBOR,2/15/1936 ,FDIC,,ACQUISITION,3734,,
40,,THE FIRST NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,ANN ARBOR,2/15/1936 ,FDIC,,ACQUISITION,1729,,
41,,MERCHANTS AND FARMERS BANK,COMMERCIAL BANK,STATE,STARKVILLE,2/17/1936 ,FDIC,,PAYOUT,142,213.0,
42,,COLUMBIA STATE BANK,COMMERCIAL BANK,STATE,COLUMBIA CITY,2/18/1936 ,FDIC,,PAYOUT,775,906.0,
43,,THE BANK OF HIGH HILL,COMMERCIAL BANK,STATE,HIGH HILL,2/20/1936 ,FDIC,,PAYOUT,93,106.0,
44,,FARMERS BANK OF LEONARD,COMMERCIAL BANK,STATE,LEONARD,2/27/1936 ,FDIC,,PAYOUT,51,69.0,
45,,PEOPLES BANK,COMMERCIAL BANK,STATE,FRANKLINTON,3/2/1936 ,FDIC,,PAYOUT,75,93.0,
46,,FARMERS AND MERCHANTS BANK OF LINN,COMMERCIAL BANK,STATE,LINN,3/5/1936 ,FDIC,,PAYOUT,198,228.0,
47,,CITIZENS BANK OF BOSWORTH,COMMERCIAL BANK,STATE,BOSWORTH,3/18/1936 ,FDIC,,ACQUISITION,80,,
48,,FARMERS STATE BANK,COMMERCIAL BANK,STATE,AMHERST,3/18/1936 ,FDIC,,PAYOUT,59,56.0,
49,,BENJAMIN STATE BANK,COMMERCIAL BANK,STATE,BENJAMIN,3/18/1936 ,FDIC,,PAYOUT,181,254.0,
50,,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,RILEY,3/24/1936 ,FDIC,,ACQUISITION,71,,
51,,DONELSON BANK & TRUST CO.,COMMERCIAL BANK,STATE,DONELSON,3/25/1936 ,FDIC,,ACQUISITION,131,,
52,,CLIFTON STATE BANK,COMMERCIAL BANK,STATE,CLIFTON,3/27/1936 ,FDIC,,PAYOUT,22,30.0,
53,,THE EARL PARK STATE BANK,COMMERCIAL BANK,STATE,EARL PARK,3/28/1936 ,FDIC,,PAYOUT,134,181.0,
54,,LELAND COOPERATIVE BANK,COMMERCIAL BANK,STATE,LELAND,3/31/1936 ,FDIC,,PAYOUT,155,150.0,
55,,BANK OF HOLCOMB,COMMERCIAL BANK,STATE,HOLCOMB,3/31/1936 ,FDIC,,PAYOUT,11,23.0,
56,,CROSS PLAINS BANK,COMMERCIAL BANK,STATE,CROSS PLAINS,4/10/1936 ,FDIC,,PAYOUT,32,50.0,
57,,HARDIN BANK,COMMERCIAL BANK,STATE,HARDIN,4/18/1936 ,FDIC,,PAYOUT,53,72.0,
58,,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,REVILLO,4/21/1936 ,FDIC,,PAYOUT,89,128.0,
59,,NORBORNE TRUST COMPANY,COMMERCIAL BANK,STATE,NORBORNE,4/22/1936 ,FDIC,,ACQUISITION,121,,
60,,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,MILES,4/23/1936 ,FDIC,,PAYOUT,103,202.0,
61,,GROWERS EXCHANGE BANK,COMMERCIAL BANK,STATE,ST. JOSEPH,5/9/1936 ,FDIC,,PAYOUT,43,53.0,
62,,FORD CITY STATE BANK,COMMERCIAL BANK,STATE,FORD CITY,5/13/1936 ,FDIC,,PAYOUT,50,62.0,
63,,FARMERS BANK OF NEW TRUXTON,COMMERCIAL BANK,STATE,NEW TRUXTON,5/14/1936 ,FDIC,,PAYOUT,53,71.0,
64,,KOSHKONONG STATE BANK,COMMERCIAL BANK,STATE,KOSHKONONG,5/23/1936 ,FDIC,,ACQUISITION,48,,
65,,WEST MONROE STATE BANK,COMMERCIAL BANK,STATE,WEST MONROE,5/23/1936 ,FDIC,,PAYOUT,410,520.0,
66,,HOLTON STATE BANK,COMMERCIAL BANK,STATE,HOLTON,5/28/1936 ,FDIC,,PAYOUT,171,204.0,
67,,THE CHRISTIAN COUNTY BANK,COMMERCIAL BANK,STATE,OZARK,6/5/1936 ,FDIC,,PAYOUT,297,339.0,
68,,COMMUNITY BANK,COMMERCIAL BANK,STATE,SMITHTON,6/5/1936 ,FDIC,,PAYOUT,50,75.0,
69,,THE PEOPLES STATE BANK OF FLAT ROCK,COMMERCIAL BANK,STATE,FLAT ROCK,6/17/1936 ,FDIC,,ACQUISITION,61,,
70,,CENTRAL BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,NEWARK,6/29/1936 ,FDIC,,ACQUISITION,361,,
71,,WALTON EQUITABLE BANK,COMMERCIAL BANK,STATE,WALTON,7/3/1936 ,FDIC,,ACQUISITION,235,,
72,,FARMERS STATE BANK,COMMERCIAL BANK,STATE,DENSMORE,7/10/1936 ,FDIC,,PAYOUT,55,80.0,
73,,THE STATE BANK OF SARCOXIE,COMMERCIAL BANK,STATE,SARCOXIE,7/11/1936 ,FDIC,,ACQUISITION,99,,
74,,D'AURIA BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,NEWARK,7/15/1936 ,FDIC,,PAYOUT,1118,1245.0,
75,,THE EAST HAMPTON BANK & TRUST CO.,COMMERCIAL BANK,STATE,EAST HAMPTON,7/16/1936 ,FDIC,,PAYOUT,1050,1233.0,
76,,BANK OF MAGNOLIA,COMMERCIAL BANK,STATE,MAGNOLIA,8/14/1936 ,FDIC,,PAYOUT,58,70.0,
77,,CUMBERLAND BANK,COMMERCIAL BANK,STATE,CUMBERLAND,8/14/1936 ,FDIC,,PAYOUT,71,87.0,
78,,DURHAM STATE BANK,COMMERCIAL BANK,STATE,DURHAM,8/22/1936 ,FDIC,,ACQUISITION,124,,
79,,COMMERCIAL BANK OF STANBERRY,COMMERCIAL BANK,STATE,STANBERRY,8/31/1936 ,FDIC,,PAYOUT,128,173.0,
80,,THE WELLSVILLE BANK,COMMERCIAL BANK,STATE,WELLSVILLE,9/12/1936 ,FDIC,,PAYOUT,290,325.0,
81,,SECURITY BANK,COMMERCIAL BANK,STATE,KINGFISHER,9/15/1936 ,FDIC,,ACQUISITION,149,,
82,,FARMERS STATE BANK,COMMERCIAL BANK,STATE,TINDALL,9/17/1936 ,FDIC,,PAYOUT,52,70.0,
83,,STOVER BANK,COMMERCIAL BANK,STATE,STOVER,10/3/1936 ,FDIC,,ACQUISITION,153,,
84,,DESOTO BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,MANSFIELD,10/9/1936 ,FDIC,,PAYOUT,996,1169.0,
85,,THE UNION BANK,COMMERCIAL BANK,STATE,UHRICHSVILLE,10/27/1936 ,FDIC,,PAYOUT,1992,1906.0,
86,,BANK OF CAMBRIA,COMMERCIAL BANK,STATE,CAMBRIA,12/1/1936 ,FDIC,,ACQUISITION,317,,
87,,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,PALMYRA,12/5/1936 ,FDIC,,PAYOUT,297,350.0,
88,,SCOTTSBURG STATE BANK,COMMERCIAL BANK,STATE,SCOTTSBURG,12/5/1936 ,FDIC,,PAYOUT,491,563.0,
89,,THE UNION STATE BANK,COMMERCIAL BANK,STATE,CROTHERSVILLE,12/7/1936 ,FDIC,,PAYOUT,207,248.0,
90,,THE BREWSTER STATE BANK,COMMERCIAL BANK,STATE,BREWSTER,12/7/1936 ,FDIC,,ACQUISITION,75,,
91,,THE FIRST STATE BANK OF LIGNITE,COMMERCIAL BANK,STATE,LIGNITE,12/12/1936 ,FDIC,,PAYOUT,46,83.0,
92,,THE FIRST NATIONAL BANK OF CENTERVILLE,COMMERCIAL BANK,STATE,CENTERVILLE,12/18/1936 ,FDIC,,PAYOUT,506,569.0,
93,,THE FIRST INTERNATIONAL BANK OF WILLISTON,COMMERCIAL BANK,STATE,WILLISTON,12/19/1936 ,FDIC,,ACQUISITION,763,,
94,,FIRST INTERNATIONAL BANK,COMMERCIAL BANK,STATE,MINOT,12/19/1936 ,FDIC,,ACQUISITION,360,,
95,,NORTHERN AND DAKOTA TRUST COMPANY,COMMERCIAL BANK,STATE,FARGO,12/19/1936 ,FDIC,,ACQUISITION,479,,
96,,FIRST STATE BANK,COMMERCIAL BANK,STATE,COTEAU,12/21/1936 ,FDIC,,ACQUISITION,43,,
97,,THE CUMMINGS STATE BANK,COMMERCIAL BANK,STATE,CUMMINGS,12/21/1936 ,FDIC,,ACQUISITION,30,,
