id,title,imdbID,spanishTitle,imdbPictureURL,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL,difference
36533,Cry_Wolf,384286,Cry_Wolf,"http://ia.media-imdb.com/images/M/MV5BODA0ODMyNDA2N15BMl5BanBnXkFtZTcwNDAxMDAzMQ@@._V1._SX214_CR0,0,214,314_.jpg",2005,cry-wolf,4,43,10,33,23,4.6,10,4,6,40,3,9727,57,http://content6.flixster.com/movie/10/89/13/10891348_det.jpg,-34
26413,Se ying diu sau,78252,La serpiente a la sombra del águila,"http://ia.media-imdb.com/images/M/MV5BMjEyMTUwOTIxNF5BMl5BanBnXkFtZTcwNTIwNjYyMQ@@._V1._SY314_CR2,0,214,314_.jpg",1978,snake_in_the_eagles_shadow,0,2,1,1,50,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/26/56/265628_det.jpg,50
8710,Map of the Human Heart,104812,El mapa del sentimiento humano,"http://ia.media-imdb.com/images/M/MV5BMTIwNDMwNzEyM15BMl5BanBnXkFtZTcwMzI5OTUyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1993,map_of_the_human_heart,6.8,20,16,4,80,0,4,3,1,75,3.7,666,74,http://content8.flixster.com/movie/10/90/03/10900366_det.jpg,6
7197,Ransom,117438,Rescate (Ransom),"http://ia.media-imdb.com/images/M/MV5BMjEzMzE2NjY0NF5BMl5BanBnXkFtZTcwMzU2MDUyMQ@@._V1._SY314_CR4,0,214,314_.jpg",1996,1074298-ransom,6.4,30,21,9,70,5.7,7,4,3,57,3.1,10364,61,http://content9.flixster.com/movie/10/91/77/10917783_det.jpg,9
4427,The Lion in Winter,63227,El león en invierno,"http://ia.media-imdb.com/images/M/MV5BNTg0MzMzMTYwMV5BMl5BanBnXkFtZTYwMzkwOTg4._V1._SY314_CR0,0,214,314_.jpg",1968,1012386-lion_in_winter,8,21,20,1,95,0,4,4,0,100,4.1,3596,88,http://content7.flixster.com/movie/11/14/62/11146205_det.jpg,7
4146,The Million Dollar Hotel,120753,El hotel del millón de dólares,"http://ia.media-imdb.com/images/M/MV5BMzA5NTIwNzUxM15BMl5BanBnXkFtZTcwMTUyNjYyMQ@@._V1._SY314_CR10,0,214,314_.jpg",2000,million_dollar_hotel,4.2,41,10,31,24,3.5,13,2,11,15,3.4,3687,64,http://content7.flixster.com/movie/65/00/650017_det.jpg,-40
34608,The Best of Everything,52619,Mujeres frente al amor,"http://ia.media-imdb.com/images/M/MV5BMzU5MjY2MDgyNl5BMl5BanBnXkFtZTcwNTkwMjkyMQ@@._V1._SY314_CR2,0,214,314_.jpg",1959,best_of_everything,0,4,2,2,50,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/35/53/85/3553851_det.jpg,50
4109,Flowers in the Attic,93036,Flores en el ático,"http://ia.media-imdb.com/images/M/MV5BMTIzMzgwNDczMl5BMl5BanBnXkFtZTcwNTg3MDQyMQ@@._V1._SY314_CR2,0,214,314_.jpg",1987,flowers_in_the_attic,3.4,7,1,6,14,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/87/05/10870534_det.jpg,14
61354,College,844671,College,"http://ia.media-imdb.com/images/M/MV5BMTc4Mjc1NzIxOF5BMl5BanBnXkFtZTcwMjEzMjc3MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,1191620-college,2.5,40,2,38,5,2.8,12,1,11,8,2.8,10667,35,http://content9.flixster.com/movie/10/84/13/10841311_det.jpg,-30
54648,Rush Hour 3,293564,Hora Punta 3,"http://ia.media-imdb.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1._SX214_CR0,0,214,314_.jpg",2007,rush_hour_3,4.2,155,30,125,19,4.4,29,6,23,20,3.5,270729,68,http://content9.flixster.com/movie/94/51/35/9451359_det.jpg,-49
7414,Going in Style,79219,Going in Style,"http://ia.media-imdb.com/images/M/MV5BMTk1ODQ5ODk4Ml5BMl5BanBnXkFtZTcwMDU0MDUyMQ@@._V1._SY314_CR22,0,214,314_.jpg",1979,going_in_style,0,4,4,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/26/52/265293_det.jpg,100
3876,Tom and Jerry: The Movie,105616,Tom y Jerry: la película,"http://ia.media-imdb.com/images/M/MV5BMTk3OTA0NDMzM15BMl5BanBnXkFtZTcwOTMwMTAyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1992,tom_and_jerry_the_movie,2.8,6,1,5,16,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/25/23/252328_det.jpg,16
5869,True Confessions,83232,Confesiones verdaderas,"http://ia.media-imdb.com/images/M/MV5BMTU2NjM0NjgwN15BMl5BanBnXkFtZTcwMDQ2NjU0MQ@@._V1._SY314_CR7,0,214,314_.jpg",1981,true_confessions,7.5,6,6,0,100,0,1,1,0,100,3.3,674,55,http://content6.flixster.com/movie/36/46/41/3646416_det.jpg,45
3415,Zerkalo,72443,El espejo,"http://ia.media-imdb.com/images/M/MV5BMTUzNTM3Nzg1NF5BMl5BanBnXkFtZTcwMDk1MDIyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1975,1036046-mirror,9.2,6,6,0,100,0,1,1,0,100,4.4,2940,93,http://content9.flixster.com/movie/10/87/92/10879271_det.jpg,7
26746,Out for Justice,102614,Buscando justicia,"http://ia.media-imdb.com/images/M/MV5BMzY3NTE3NzI4NV5BMl5BanBnXkFtZTcwMDEyOTIyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1991,out_for_justice,3.6,20,4,16,20,0,4,1,3,25,3,3054,57,http://content8.flixster.com/movie/27/30/273022_det.jpg,-37
4165,Eu Tu Eles,244504,Eu Tu Eles,"http://ia.media-imdb.com/images/M/MV5BMTU5MDI3OTEyMV5BMl5BanBnXkFtZTYwNTMzNTg5._V1._SX214_CR0,0,214,314_.jpg",2000,me_you_them,6.4,55,41,14,74,6.5,19,14,5,73,3.4,377,62,http://content8.flixster.com/movie/10/91/34/10913466_det.jpg,12
6847,There Goes My Baby,108320,There Goes My Baby: ahí va mi chica,"http://ia.media-imdb.com/images/M/MV5BMTgzODU0OTAwMl5BMl5BanBnXkFtZTcwMTE4ODkxMQ@@._V1._SY314_CR2,0,214,314_.jpg",1994,there_goes_my_baby,0,1,0,1,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/91/77/10917793_det.jpg,0
4226,Memento,209144,Memento,"http://ia.media-imdb.com/images/M/MV5BMjI1MTAzMDczNl5BMl5BanBnXkFtZTcwNDM1NDE3Mw@@._V1._SX214_CR0,0,214,314_.jpg",2000,memento,8.1,135,125,10,92,7.7,32,30,2,93,4,103567,93,http://content9.flixster.com/movie/26/78/267827_det.jpg,-1
7364,Intermission,332658,Intermission,"http://ia.media-imdb.com/images/M/MV5BMjE2OTA2MzAyOV5BMl5BanBnXkFtZTcwMzIzMTYyMQ@@._V1._SY228_CR44,0,214,228_.jpg",2003,intermission,6.6,96,70,26,72,6.8,28,21,7,75,3.6,2948,76,http://content7.flixster.com/movie/10/37/24/10372401_det.jpg,-4
27768,Confidences trop intimes,363532,Confidencias muy íntimas,"http://ia.media-imdb.com/images/M/MV5BMTI1MzczNDM1NV5BMl5BanBnXkFtZTcwMTUyMzYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",2004,1132500-intimate_strangers,7.3,100,87,13,87,7.2,32,27,5,84,3.4,696,65,http://content6.flixster.com/movie/95/02/25/9502252_det.jpg,22
1702,Flubber,119137,Flubber y el profesor chiflado,"http://ia.media-imdb.com/images/M/MV5BMTUyMTQxMjg2MF5BMl5BanBnXkFtZTcwODUxMTYyMQ@@._V1._SY313_CR1,0,214,313_.jpg",1997,flubber,3.7,29,5,24,17,4.3,6,1,5,16,2.8,23244,43,http://content7.flixster.com/movie/10/90/92/10909265_det.jpg,-26
3542,Coming Apart,64180,Coming Apart,"http://ia.media-imdb.com/images/M/MV5BMTUyNzg1MDc3OF5BMl5BanBnXkFtZTcwODEzOTEyMQ@@._V1._SY314_CR2,0,214,314_.jpg",1969,coming_apart,0,4,2,2,50,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/84/83/10848318_det.jpg,50
47261,The Night Listener,448075,Voces en la noche,"http://ia.media-imdb.com/images/M/MV5BMTI0MzM0NjkzMF5BMl5BanBnXkFtZTcwMDA0MTkzMQ@@._V1._SY314_CR5,0,214,314_.jpg",2006,the_night_listener,5.4,133,53,80,39,5.2,29,9,20,31,2.9,28560,36,http://content7.flixster.com/movie/18/57/11/1857117_det.jpg,3
382,Wolf,111742,Lobo,"http://ia.media-imdb.com/images/M/MV5BMTc3NjY2NDc3Ml5BMl5BanBnXkFtZTYwMDk4OTA5._V1._SX214_CR0,0,214,314_.jpg",1994,1053942-wolf,5.9,48,29,19,60,5.9,8,5,3,62,2.8,6634,43,http://content7.flixster.com/movie/10/26/03/10260341_det.jpg,17
32300,D.E.B.S.,367631,D.E.B.S. - espías en acción,"http://ia.media-imdb.com/images/M/MV5BMjA0OTU5ODgyOF5BMl5BanBnXkFtZTcwODczNDgyMQ@@._V1._SX214_CR0,0,214,314_.jpg",2004,debs,4.7,58,23,35,39,4.7,21,8,13,38,2.9,4690,52,http://content7.flixster.com/movie/60/49/01/6049013_det.jpg,-13
6775,Life and Debt,284262,Life and Debt,"http://ia.media-imdb.com/images/M/MV5BMTA5MjQ2NjIyMTFeQTJeQWpwZ15BbWU3MDUwNjEzMjE@._V1._SY314_CR2,0,214,314_.jpg",2001,life_and_debt,7.3,42,38,4,90,7.6,12,12,0,100,4.1,552,90,http://content6.flixster.com/movie/11/14/65/11146556_det.jpg,0
429,Cabin Boy,109361,Cabin Boy,"http://ia.media-imdb.com/images/M/MV5BMTIwMjk3OTczNF5BMl5BanBnXkFtZTYwNjM4Mjg5._V1._SX214_CR0,0,214,314_.jpg",1994,cabin_boy,4.9,23,10,13,43,0,2,0,2,0,2.4,1694,36,http://content8.flixster.com/movie/26/13/261398_det.jpg,7
46322,Huo Yuan Jia,446059,Fearless - Sin miedo,"http://ia.media-imdb.com/images/M/MV5BMTI5MjA2Mzk2M15BMl5BanBnXkFtZTcwODY1MDUzMQ@@._V1._SX214_CR0,0,214,314_.jpg",2006,fearless-a-chinese-hero,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/85/48/10854871_det.jpg,0
2806,Teaching Mrs. Tingle,133046,Secuestrando a la Srta. Tingle,"http://ia.media-imdb.com/images/M/MV5BMTgyNDI3NTAzOV5BMl5BanBnXkFtZTcwOTc3NTEzMQ@@._V1._SY314_CR8,0,214,314_.jpg",1999,teaching_mrs_tingle,4,68,13,55,19,4,24,5,19,20,2.5,4339,34,http://content8.flixster.com/movie/26/66/266698_det.jpg,-15
1026,So Dear to My Heart,41890,So Dear to My Heart,"http://ia.media-imdb.com/images/M/MV5BMTI1NTAyNDg5NF5BMl5BanBnXkFtZTcwNTc2ODcxMQ@@._V1._SY314_CR8,0,214,314_.jpg",1948,so_dear_to_my_heart,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/56/75/49/5675490_det.jpg,0
4179,Pixote: A Lei do Mais Fraco,82912,"Pixote, la ley del más débil","http://ia.media-imdb.com/images/M/MV5BMTYxMzcyNTM1M15BMl5BanBnXkFtZTcwODg2NzMyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1981,pixote,8.6,9,9,0,100,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/28/08/280891_det.jpg,100
5516,Sur mes lèvres,274117,Lee mis labios,"http://ia.media-imdb.com/images/M/MV5BMjExNzg4MDA5MF5BMl5BanBnXkFtZTYwNjMxMzg5._V1._SY309_CR1,0,214,309_.jpg",2001,read_my_lips,7.8,95,92,3,96,8.1,26,25,1,96,3.8,1495,81,http://content8.flixster.com/movie/10/88/74/10887498_det.jpg,15
1367,One Hundred and One Dalmatians,55254,101 dálmatas,"http://ia.media-imdb.com/images/M/MV5BMTI2OTA5NjU0N15BMl5BanBnXkFtZTcwODc3MDYyMQ@@._V1._SY288_CR1,0,214,288_.jpg",1961,1036674-101_dalmatians,8,37,36,1,97,7.6,5,5,0,100,3.3,29711,63,http://content7.flixster.com/movie/10/92/06/10920681_det.jpg,34
